temperatura,umidade,leitura_ldr,ph,potassio,fosforo,irrigacao
23.8,40.6,2722,0.0,12,0,INATIVA
23.8,40.6,458,9.53,12,0,INATIVA
24.2,39.5,457,7.55,19,0,ATIVA
24.2,39.5,457,7.55,19,6,ATIVA
23.8,40.6,3099,0.0,0,6,INATIVA
23.8,40.6,3099,0.0,10,6,INATIVA
23.8,40.6,3099,0.0,10,10,INATIVA
23.8,40.6,3099,0.0,25,10,INATIVA
23.8,40.6,3099,0.0,25,10,INATIVA
24.0,40.2,2831,0.0,55,35,INATIVA
24.0,40.2,2831,0.0,55,35,INATIVA
24.0,40.2,2831,0.0,55,35,INATIVA
23.8,40.1,2496,0.0,59,34,INATIVA
23.8,40.1,2496,0.0,73,34,INATIVA
23.6,40.1,1536,0.0,72,29,INATIVA
23.6,40.5,3698,6.0,74,39,INATIVA
23.6,40.5,3552,8.0,110,6,INATIVA
23.6,40.5,156,5.0,5,49,INATIVA
23.6,40.5,156,5.0,21,49,INATIVA
23.6,40.5,674,6.0,18,8,INATIVA
23.6,40.5,3096,8.0,78,17,INATIVA
23.6,40.5,3584,6.0,78,32,INATIVA
23.6,40.5,2350,4.0,84,26,INATIVA
23.6,40.5,2350,4.0,84,26,INATIVA
23.6,40.5,2350,4.0,84,26,INATIVA
24.3,39.5,1693,6.0,116,40,ATIVA
23.6,40.5,554,5.0,118,33,INATIVA
23.6,40.5,554,5.0,118,33,INATIVA
24.3,39.5,787,4.0,19,41,ATIVA
24.0,39.3,2735,4.0,2,48,ATIVA
24.3,40.1,3008,6.0,84,12,INATIVA
23.6,40.5,3180,4.0,7,14,INATIVA
23.6,40.5,1462,6.0,82,9,INATIVA
23.6,40.5,1462,6.0,82,13,INATIVA
23.6,40.5,1462,6.0,86,13,INATIVA
